Level;Start time;Last status time;Side;Amount (UNI);Price (USDC);Order ID
30;27.12.2025 21:18:15;27.12.2025 21:18:17;Sell;2.86;7.076;d6433e965b7e46c2aeca3a1056aa2915;;;Open
16;22.12.2025 09:44:48;27.12.2025 21:18:28;Sell;3.24;6.156;49a9d997507244b49f6277b13e1cda14;;;Completed
17;22.12.2025 08:00:52;27.12.2025 21:18:38;Sell;3.21;6.218;8d8b6911c25c49b1b277c9ff7f1d84fb;;;Completed
16;27.12.2025 21:35:21;27.12.2025 22:44:33;Sell;3.24;6.156;4ee71ced8c9f4f71be150f60083226d1;;;Completed
31;27.12.2025 22:44:33;27.12.2025 22:44:34;Sell;2.79;7.146;42923fd4adf8404c8629ad1067555a5d;;;Open
17;27.12.2025 21:18:58;27.12.2025 22:45:48;Sell;3.21;6.218;e9cc8d68974f4ddaab4a6f4db53c129e;;;Completed
17;27.12.2025 22:50:12;27.12.2025 23:33:49;Sell;3.21;6.218;08174091cdc54a0da7af779b7a0e34f9;;;Completed
32;27.12.2025 23:33:49;27.12.2025 23:33:51;Sell;2.77;7.216;05618d184e2645dfab4818da5c150c22;;;Open
18;22.12.2025 07:37:57;27.12.2025 23:35:20;Sell;3.18;6.28;3e14c693a5a747fa92e8ceaf3cc22229;;;Completed
19;22.12.2025 05:46:49;27.12.2025 23:53:13;Sell;3.15;6.343;988e0b83001746d9967cf8811073b950;;;Completed
19;28.12.2025 00:18:59;28.12.2025 00:19:26;Sell;3.15;6.343;5cdceb324d6045deadb56d4e695d0fea;;;Completed
19;28.12.2025 00:38:45;28.12.2025 01:14:45;Sell;3.15;6.343;c15c9d8cebfd4cd1a3c4508503b58d37;;;Completed
19;28.12.2025 01:18:48;28.12.2025 01:32:03;Sell;3.15;6.343;19b6c069d7eb4a2c82bd08fd78288348;;;Completed
19;28.12.2025 02:00:15;28.12.2025 06:54:52;Sell;3.15;6.343;669b94b356384416921a93b8d1f018d1;;;Completed
20;21.12.2025 11:06:28;28.12.2025 07:46:51;Sell;3.12;6.406;b92df4625c454ce888e4ab80d56131bf;;*;Completed
20;28.12.2025 07:53:53;28.12.2025 08:04:29;Sell;3.12;6.406;fb9b5365b4e4432db04ae6f228f876f3;;;Completed
21;21.12.2025 11:06:28;28.12.2025 08:21:07;Sell;3.09;6.47;1d863907e33748bfa9ebadd4d4cd2073;;*;Completed
21;28.12.2025 08:21:14;28.12.2025 08:21:39;Buy;3.62;6.47;3f72a29de1ba4ed18f5bdc6b6197d4e7;;;Completed
22;21.12.2025 11:06:28;28.12.2025 08:27:53;Sell;3.06;6.535;ed62af9c08ce48a4b080182de4881e89;;*;Completed
22;28.12.2025 08:30:21;28.12.2025 08:30:22;Sell;3.12;6.535;7492c7394ac24cb0bed00c766598f38e;;;Open
21;28.12.2025 08:27:54;28.12.2025 08:32:34;Buy;3.62;6.47;bef361c4002647b9b1249fb1d147ad1c;;;Completed
6;28.12.2025 08:32:34;28.12.2025 08:32:36;Buy;3.62;5.573;fc1fac7e54ff444e98f90480d3ef672b;;;Open
20;28.12.2025 08:21:14;28.12.2025 09:24:45;Buy;3.55;6.406;2212fbbfe3ac471a822500c12dbe1da6;;;Completed
5;28.12.2025 09:24:45;28.12.2025 09:24:46;Buy;3.55;5.518;53288cf7273443d282ec655b86adf93f;;;Open
19;28.12.2025 08:21:14;28.12.2025 09:31:52;Buy;3.48;6.343;cd5ceb785d4048d1a67abe8df69f0e24;;;Completed
4;28.12.2025 09:31:52;28.12.2025 09:31:53;Buy;3.48;5.463;09835655a6cb4c92b93d5058fefc1f51;;;Open
21;28.12.2025 09:31:53;28.12.2025 09:31:55;Sell;3.83;6.47;37187163d13d4c2cba64e01e1fcd0e8c;;;Open
18;28.12.2025 08:21:14;28.12.2025 11:13:08;Buy;3.51;6.28;febcd6a14b42440c973a06f350e2f0b7;;;Completed
3;28.12.2025 11:13:08;28.12.2025 11:13:09;Buy;3.51;5.409;960d92ca74054572840b44b5c5238f0b;;;Open
17;28.12.2025 08:21:14;28.12.2025 11:13:32;Buy;3.58;6.218;812014acccaa4b06aab283d2880bb3f1;;;Completed
2;28.12.2025 11:13:32;28.12.2025 11:13:34;Buy;3.58;5.356;329513a56ada4615818b2b4ec6316fb3;;;Open
16;28.12.2025 08:21:14;28.12.2025 12:29:12;Buy;3.44;6.156;76ec69181423429085f7dc79825878cb;;;Completed
1;28.12.2025 12:29:12;28.12.2025 12:29:13;Buy;3.44;5.303;45cd48f48229457b9b60d81ebee8e3e5;;;Open
15;28.12.2025 08:21:14;29.12.2025 02:09:16;Buy;3.41;6.095;5dbead4be0694925a23bcd92f25f7dee;;;Completed
0;29.12.2025 02:09:16;29.12.2025 02:09:17;Buy;3.41;5.25;9896d2b5c6ae488c8e18a496cc28b2dd;;;Open
14;28.12.2025 08:21:14;29.12.2025 02:45:43;Buy;3.38;6.035;b7ead2162bfd457d9034c51189ac4fa4;;;Completed
-1;29.12.2025 02:45:43;29.12.2025 02:45:45;Buy;3.38;5.198;22b5628686b7410cbe58b794bc42165f;;;Open
20;29.12.2025 02:45:44;29.12.2025 02:45:45;Sell;4.99;6.406;7c264e25d5d848ebbeb24dca84392fc1;;;Open
13;28.12.2025 08:21:14;29.12.2025 11:25:38;Buy;3.34;5.975;2cb18fcd30d948e9ab3dfdd834b02a4a;;;Completed
-2;29.12.2025 11:25:38;29.12.2025 11:25:40;Buy;3.34;5.146;f7b8f20e91414f71a39d439a5794d54c;;;Open
12;28.12.2025 08:21:14;29.12.2025 23:48:50;Buy;3.31;5.916;5edb4526031a4503b638577534a0fabd;;;Completed
-3;29.12.2025 23:48:50;29.12.2025 23:48:52;Buy;3.31;5.095;e29fc7931c204817a4873a1290b2cc7e;;;Open
11;28.12.2025 08:21:14;31.12.2025 03:38:21;Buy;3.28;5.857;b3c9866a0dfb447f9fd87e3ab18e3f9b;;;Completed
-4;31.12.2025 03:38:21;31.12.2025 03:38:23;Buy;3.28;5.044;25f6e9fa43e84283a03f7c495ec31265;;;Open
19;31.12.2025 03:38:22;31.12.2025 03:38:23;Sell;5.65;6.343;6b72496557cf449b94607d490cba060e;;;Open
10;28.12.2025 08:21:14;31.12.2025 09:34:34;Buy;3.77;5.799;9826c6d8429740128eca525b46786c61;;;Completed
-5;31.12.2025 09:34:34;31.12.2025 09:34:35;Buy;3.77;4.994;ffdd7c1be3e247a9a66289f80a0d77c4;;;Open
9;28.12.2025 08:21:14;31.12.2025 09:42:43;Buy;3.73;5.742;4028ea04ff2b4d20b31f28df07fa10a1;;;Completed
8;28.12.2025 08:21:14;31.12.2025 09:42:50;Buy;3.69;5.685;35b49273d1394bb9abe4597575d5a996;;;Completed
-6;31.12.2025 09:42:43;31.12.2025 09:42:51;Buy;3.73;4.944;bf821431af454663839abe9f46e84cc6;;;Open
-7;31.12.2025 09:42:50;31.12.2025 09:42:56;Buy;3.69;4.895;da278b6f160d4d95af942a3855d7c345;;;Open
18;31.12.2025 09:42:51;31.12.2025 09:42:56;Sell;6.39;6.28;533531f0839549c7baf434edf290e90a;;;Open
7;28.12.2025 08:21:14;31.12.2025 16:41:13;Buy;3.66;5.629;787a8bfde189454c8d41592659235779;;;Completed
-8;31.12.2025 16:41:13;31.12.2025 16:41:14;Buy;3.66;4.846;78b0e6a75e4742ca813fb48e7613c99e;;;Open
